hosname,hoscode,hsector,hostype,yeartransfer,region,pvcode,pvname,ampcode,ampname,tumcode,tumbonname
ศูนย์สุขภาพชุมชนเมืองกิโลเมตรที่ 3,77501,รพ.และศสช.ในรพ.สป,08-ศูนย์สุขภาพชุมชน ของ รพ.,,12,95,95-ยะลา,9502,02-เบตง,950201,01-เบตง
รพสต.บ้านวังแขม ต.วังแขม,07212,อื่นๆ,03-สถานีอนามัย,2551,3,62,62-กำแพงเพชร,6205,05-คลองขลุง,620507,07-วังแขม
รพสต.บ้านบ่อทอง  ตำบลวังแขม,07213,อื่นๆ,03-สถานีอนามัย,2551,3,62,62-กำแพงเพชร,6205,05-คลองขลุง,620507,07-วังแขม
รพสต.บ้านแม่กุเหนือ ตำบลแม่กุ,07335,อื่นๆ,03-สถานีอนามัย,2557,2,63,63-ตาก,6306,06-แม่สอด,630602,02-แม่กุ
รพสต.บ้านเก่า ตำบลบ้านฆ้อง,07960,อื่นๆ,03-สถานีอนามัย,2555,5,70,70-ราชบุรี,7007,07-โพธาราม,700706,06-บ้านฆ้อง
รพสต.บ้านดงป่าสัก,10374,อื่นๆ,03-สถานีอนามัย,2555,1,55,55-น่าน,5514,14-ภูเพียง,551407,07-ฝายแก้ว
ศูนย์แพทย์ชุมชนบ้านเกาะล้านเมืองพัทยา,01855,อื่นๆ,03-สถานีอนามัย,2557,6,20,20-ชลบุรี,2004,04-บางละมุง,200408,08-นาเกลือ
ศูนย์สุขภาพจิตที่ 2,15106,ศูนย์วิชาการ,10-ศูนย์วิชาการ,,2,65,65-พิษณุโลก,6508,08-วังทอง,650806,06-แก่งโสภา
ศูนย์สุขภาพจิตที่ 3,15105,ศูนย์วิชาการ,10-ศูนย์วิชาการ,,3,60,60-นครสวรรค์,6010,10-พยุหะคีรี,601008,08-ท่าน้ำอ้อย
ศูนย์สุขภาพจิตที่ 4,12255,ศูนย์วิชาการ,10-ศูนย์วิชาการ,,4,13,13-ปทุมธานี,1301,01-เมืองปทุมธานี,130111,11-บางพูน
ศูนย์สุขภาพจิตที่ 11,14656,ศูนย์วิชาการ,10-ศูนย์วิชาการ,,11,84,84-สุราษฎร์ธานี,8417,17-พุนพิน,841701,01-ท่าข้าม
ศูนย์สุขภาพจิตที่ 1,14655,ศูนย์วิชาการ,10-ศูนย์วิชาการ,,1,50,50-เชียงใหม่,5001,01-เมืองเชียงใหม่,500103,03-หายยา
ศูนย์สุขภาพจิตที่ 6,14648,ศูนย์วิชาการ,10-ศูนย์วิชาการ,,6,20,20-ชลบุรี,2001,01-เมืองชลบุรี,200116,16-เสม็ด
ศูนย์สุขภาพจิตที่ 7,12271,ศูนย์วิชาการ,10-ศูนย์วิชาการ,,7,40,40-ขอนแก่น,4001,01-เมืองขอนแก่น,400101,01-ในเมือง
ศูนย์สุขภาพจิตที่ 9,14650,ศูนย์วิชาการ,10-ศูนย์วิชาการ,,9,30,30-นครราชสีมา,3001,01-เมืองนครราชสีมา,300101,01-ในเมือง
ศูนย์สุขภาพจิตที่ 12,14657,ศูนย์วิชาการ,10-ศูนย์วิชาการ,,12,90,90-สงขลา,9001,01-เมืองสงขลา,900101,01-บ่อยาง
ศูนย์สุขภาพจิตที่ 13,14658,ศูนย์วิชาการ,10-ศูนย์วิชาการ,,13,10,10-กรุงเทพมหานคร,1004,04-บางรัก,100404,04-บางรัก
ศูนย์สุขภาพจิตที่ 5,14647,ศูนย์วิชาการ,10-ศูนย์วิชาการ,,5,75,75-สมุทรสงคราม,7501,01-เมืองสมุทรสงคราม,750103,03-ลาดใหญ่
สำนักงานบรรเทาทุกข์และประชานามัยพิทักษ์,14953,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,13,10,10-กรุงเทพมหานคร,1007,07-ปทุมวัน,100703,03-ปทุมวัน
สถานีกาชาดเทพรัตน์(สถานีกาชาดที่ 13 จ.ตาก),22194,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,2,63,63-ตาก,6301,01-เมืองตาก,630112,12-ป่ามะม่วง
สถานพยาบาลสถานีกาชาดที่ 5 สวางคนิวาส,12464,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,6,11,11-สมุทรปราการ,1101,01-เมืองสมุทรปราการ,110104,04-ท้ายบ้าน
สถานพยาบาลสถานีกาชาดที่ 1 พลสุรินทร์อนามัย ,12467,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,9,32,32-สุรินทร์,3201,01-เมืองสุรินทร์,320101,01-ในเมือง
ศูนย์ดวงตาสภากาชาดไทย,40861,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,13,10,10-กรุงเทพมหานคร,1007,07-ปทุมวัน,100702,02-วังใหม่
ศูนย์รับบริจาคอวัยวะสภากาชาดไทย,40860,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,13,10,10-กรุงเทพมหานคร,1007,07-ปทุมวัน,100703,03-ปทุมวัน
สถานีกาชาดที่ 2 สุขุมาลอนามัย,14947,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,13,10,10-กรุงเทพมหานคร,1001,01-พระนคร,100105,05-ศาลเจ้าพ่อเสือ
คลีนิคนิรนาม สภากาชาดไทย สาขาเชียงใหม่,23778,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,1,50,50-เชียงใหม่,5001,01-เมืองเชียงใหม่,500104,04-ช้างม่อย
รพ.จุฬาภรณ์,22737,อื่นๆ,12-โรงพยาบาล นอก สธ.,,13,10,10-กรุงเทพมหานคร,1041,41-หลักสี่,104101,01-ทุ่งสองห้อง
รพ.ส่งเสริมสุขภาพ ศูนย์อนามัยที่ 10,12270,รพ.นอกสป.สธ,11-โรงพยาบาล นอก สป.สธ.,,10,34,34-อุบลราชธานี,3415,15-วารินชำราบ,341502,02-ธาตุ
ศูนย์กายภาพบำบัดเทศบาลตำบลวิชิต,77470,อื่นๆ,17-โรงพยาบาล/ศูนย์บริการสาธารณสุข สาขา,,11,83,83-ภูเก็ต,8301,01-เมืองภูเก็ต,830105,05-วิชิต
คลินิกทันตกรรมและแพทย์แผนไทย สำนักงานสาธารณสุขจังหวัดอำนาจเจริญ,77469,อื่นๆ,17-โรงพยาบาล/ศูนย์บริการสาธารณสุข สาขา,,10,37,37-อำนาจเจริญ,3701,01-เมืองอำนาจเจริญ,370113,13-โนนหนามแท่ง
ศูนย์สุขภาพชุมชนรพ.เชียงดาว,99902,รพ.และศสช.ในรพ.สป,08-ศูนย์สุขภาพชุมชน ของ รพ.,,1,50,50-เชียงใหม่,5004,04-เชียงดาว,500401,01-เชียงดาว
สถานีอนามัยเฉลิมพระเกียรติ 60 พรรษา นวมินทราชินี สาขาวัดบางปิ้ง,23945,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,6,11,11-สมุทรปราการ,1101,01-เมืองสมุทรปราการ,110103,03-บางเมือง
ศูนย์สุขภาพชุมชนเมืองอ้อมน้อย,77701,รพ.และศสช.ในรพ.สป,08-ศูนย์สุขภาพชุมชน ของ รพ.,,5,74,74-สมุทรสาคร,7402,02-กระทุ่มแบน,740202,02-อ้อมน้อย
รพ.ชุมชนการแพทย์แผนไทยและการแพทย์ทางเลือก องค์การบริหารส่วนจังหวัดแพร่,41954,อื่นๆ,12-โรงพยาบาล นอก สธ.,,1,54,54-แพร่,5401,01-เมืองแพร่,540101,01-ในเวียง
